"Uniprot","Full.Uniprot","Description","Accession","R1.X127_N.126","R2X127_N.126","R1.X127_C.126","R1.X128_N.126","R2X127_C.126","R2X128_N.126","R1.X128_C.126","R1.X129_N.126","R2X128_C.126","R2X129_N.126","R1.X129_C.126","R1.X130_N.126","R2X129_C.126","R2X130_N.126","R1.X130_C.126","R1.X131.126","R2X130_C.126","R2X131.126"
"Q10NX2","tr|Q10NX2|Q10NX2_ORYSJ","Os03g0255500 protein OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os03g15050 PE=2 SV=1",115451989,0.946,0.874,0.963,0.994,0.913,0.764,0.737,0.694,0.742,0.489,1.042,1.069,1.02,0.689,1.136,0.916,1.12,1.042
"Q10N88","tr|Q10N88|Q10N88_ORYSJ","ARF GAP-like zinc finger-containing protein ZIGA2, putative, expressed OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os03g17020 PE=2 SV=1",115452251,0.926,0.773,0.891,0.896,0.924,0.796,0.748,0.684,0.685,0.697,0.819,0.786,0.865,0.8,1.023,0.842,1.025,0.701
"Q10LH0","sp|Q10LH0|DCVR_ORYSJ","Divinyl chlorophyllide a 8-vinyl-reductase, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=DVR PE=3 SV=1",115453029,1.035,1.085,1.075,1.142,1.075,1.073,0.762,0.81,0.76,0.807,1.078,1.05,1.081,1.148,1.004,1.208,1.098,1.019
"Q9SXV0","tr|Q9SXV0|Q9SXV0_ORYSJ","Cytochrome c oxidase subunit 6b OS=Oryza sativa subsp. japonica OX=39947 GN=COX6b-1 PE=2 SV=1",115453349,0.92,0.893,0.889,0.805,0.935,0.876,0.869,0.888,0.9,0.707,1.099,0.946,1.126,0.956,1.12,0.925,1.146,0.946
"Q84MQ4","tr|Q84MQ4|Q84MQ4_ORYSJ","60S ribosomal protein L27a-3, putative, expressed OS=Oryza sativa subsp. japonica OX=39947 GN=OSJNBa0030J19.9 PE=3 SV=1",115453473,1.137,1.002,0.959,0.979,0.991,0.898,0.911,0.825,0.876,0.824,0.915,1.044,0.968,1.022,0.947,1.144,0.989,1.04
"Q75KD7","sp|Q75KD7|AOC_ORYSJ","Allene oxide cyclase, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=AOC PE=1 SV=1",115453693,1.002,1.016,0.932,0.942,0.963,0.897,0.777,0.746,0.802,0.881,0.819,0.935,0.754,0.861,1.068,0.915,0.994,0.985
"Q53RM0","sp|Q53RM0|CHLI_ORYSJ","Magnesium-chelatase subunit ChlI, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=CHLI PE=1 SV=1",115453785,1.171,1.102,0.928,0.976,0.94,1,0.788,0.755,0.833,0.857,0.918,1.038,0.946,1.195,0.867,1.182,0.914,1.032
"Q75I27","tr|Q75I27|Q75I27_ORYSJ","Cucumisin-like serine protease, putative, expressed OS=Oryza sativa subsp. japonica OX=39947 GN=OSJNBa0004G03.20 PE=3 SV=1",115454067,0.939,0.949,0.993,1.028,0.904,0.856,0.759,0.781,0.701,0.694,0.875,0.869,0.779,0.778,1.085,1.047,0.983,0.971
"Q7XZY1","sp|Q7XZY1|GL32_ORYSJ","Putative germin-like protein 3-2 OS=Oryza sativa subsp. japonica OX=39947 GN=Os03g0651800 PE=3 SV=1",115454385,1.065,0.975,1.048,1.034,1.109,1.103,0.917,1.057,0.9,0.941,1.052,1.045,1.059,1.114,1.227,1.126,1.165,1.117
"Q850T5","tr|Q850T5|Q850T5_ORYSJ","Ferredoxin OS=Oryza sativa subsp. japonica OX=39947 GN=OSJNBb0047K21.3 PE=2 SV=1",115454433,1.151,1.187,0.98,1.008,0.987,1.001,0.889,0.739,0.815,0.789,0.939,1.112,0.998,1.352,1.049,1.086,1.063,1.103
"Q6AVG6","sp|Q6AVG6|ISPH_ORYSJ","4-hydroxy-3-methylbut-2-enyl diphosphate reductase, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=ISPH PE=2 SV=1",115455133,0.961,1.042,0.94,0.872,1.022,1.034,0.749,0.708,0.792,0.803,0.908,1.052,0.909,0.869,0.924,1.044,0.934,1.027
"Q84MP7","sp|Q84MP7|H2AV3_ORYSJ","Probable histone H2A variant 3 OS=Oryza sativa subsp. japonica OX=39947 GN=Os03g0743400 PE=2 SV=1",115455263,0.959,0.95,1,0.958,0.929,0.857,0.892,0.921,0.859,0.673,1.023,1.058,1.046,1.021,1.019,1.028,0.956,0.95
"Q851P9","tr|Q851P9|Q851P9_ORYSJ","Histone-like protein OS=Oryza sativa subsp. japonica OX=39947 GN=OSJNBa0052F07.24 PE=2 SV=1",115455945,1.03,1.052,1.026,1.049,1.085,1.036,0.953,0.925,0.902,0.91,1.041,0.982,1.049,0.965,1.151,1.015,1.207,1.119
"Q84T92","sp|Q84T92|CFI_ORYSJ","Chalcone--flavonone isomerase OS=Oryza sativa subsp. japonica OX=39947 GN=CHI PE=2 SV=1",115456227,1.125,1.222,1.067,1.027,1.064,1.077,0.782,0.818,0.8,1.003,0.962,0.929,0.988,1.005,1.187,1.06,1.208,1.125
"Q851N4","tr|Q851N4|Q851N4_ORYSJ","Os03g0839000 protein OS=Oryza sativa subsp. japonica OX=39947 GN=OSJNBa0042I09.10 PE=2 SV=1",115456477,0.879,0.972,1.115,1.109,1.146,1.112,0.927,0.921,1.043,0.846,1.156,1.109,1.15,1.102,0.965,0.777,1.167,1.052
"Q75IQ4","sp|Q75IQ4|OEP24_ORYSJ","Outer envelope pore protein 24, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=OEP24 PE=2 SV=1",115456685,0.982,1.002,0.938,0.908,0.888,1.038,0.836,0.827,0.792,0.83,0.892,0.918,0.881,0.83,0.902,0.925,0.878,0.945
"Q84VC9","tr|Q84VC9|Q84VC9_ORYSJ","OSJNBb0004G23.6 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0105700 PE=2 SV=1",115456822,1.046,1.051,1.066,1.167,1.01,1.055,0.552,0.747,0.841,0.688,0.939,1.052,0.907,1.078,1.117,1.39,0.945,0.888
"Q0JF58","sp|Q0JF58|AGO4B_ORYSJ","Protein argonaute 4B OS=Oryza sativa subsp. japonica OX=39947 GN=AGO4B PE=2 SV=1",115457030,1.004,1.142,0.982,1.013,1.173,0.999,0.825,1.001,0.839,1.053,0.97,0.93,0.953,0.991,1.192,1.004,1.205,1.14
"Q7XS58","tr|Q7XS58|Q7XS58_ORYSJ","Cysteine synthase OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0165700 PE=2 SV=2",115457070,1.031,1.049,0.912,0.87,0.965,0.975,0.808,0.835,0.838,0.76,0.983,1.066,0.924,0.875,0.813,0.879,0.906,0.974
"Q7XNV4","tr|Q7XNV4|Q7XNV4_ORYSJ","OSJNBb0015G09.12 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0227500 PE=2 SV=2",115457372,0.935,0.769,0.872,0.813,0.799,0.672,0.684,0.623,0.626,0.58,0.738,0.915,0.718,0.66,0.833,1,0.795,0.88
"Q7XLN8","tr|Q7XLN8|Q7XLN8_ORYSJ","OSJNBa0044M19.18 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0387900 PE=2 SV=2",115458058,0.848,0.818,1.061,1.016,1.024,0.858,0.671,0.637,0.718,0.797,0.997,0.804,0.986,0.932,1.078,0.884,0.99,0.951
"Q7XV86","tr|Q7XV86|Q7XV86_ORYSJ","Calnexin OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0402100 PE=2 SV=1",115458184,1.015,1.008,1.02,0.987,1.028,0.82,0.906,0.801,0.923,0.809,0.966,0.923,0.958,0.959,1.16,1.066,1.228,1.059
"Q7XRB6","tr|Q7XRB6|Q7XRB6_ORYSJ","OSJNBa0006B20.1 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0435700 PE=2 SV=1",115458498,1.053,1.017,1.055,1.057,0.983,0.984,0.825,0.81,0.848,0.889,0.95,0.887,0.939,0.907,1.091,1.075,1.096,1.076
"Q7XV18","tr|Q7XV18|Q7XV18_ORYSJ","Glutamate decarboxylase OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0447800 PE=3 SV=2",115458638,0.957,1.091,1.045,1.121,1.106,1.098,0.855,0.828,1.015,1.073,0.839,1.038,0.976,1.045,1.348,1.143,1.274,1.219
"Q7XR26","tr|Q7XR26|Q7XR26_ORYSJ","OSJNBb0022F23.4 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0472300 PE=2 SV=2",115458920,1.126,1.035,1.101,0.992,1.111,0.907,0.82,0.883,0.94,1.048,1.12,1.085,1.113,1.434,1.021,1.087,0.966,1.076
"Q7XUQ3","tr|Q7XUQ3|Q7XUQ3_ORYSJ","OSJNBb0011N17.9 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0481300 PE=2 SV=2",115459018,0.991,1.146,1.161,1.186,1.544,1.552,0.908,0.911,1.063,1.173,1.285,1.29,1.373,1.21,0.989,1.053,1.15,1.077
"Q7XUK3","tr|Q7XUK3|Q7XUK3_ORYSJ","NADPH oxidoreductase OS=Oryza sativa subsp. japonica OX=39947 GN=OsNADPH-1 PE=2 SV=2",115459206,0.932,0.989,0.821,0.801,0.805,0.934,0.837,0.812,0.901,0.877,0.711,0.814,0.669,0.655,0.855,0.777,0.9,0.91
"Q7XSJ9","tr|Q7XSJ9|Q7XSJ9_ORYSJ","OSJNBb0070J16.4 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0514400 PE=2 SV=2",115459412,1.026,1.066,1.004,0.895,1.084,1.092,0.792,0.758,0.856,0.947,1.1,1.098,1.139,0.92,0.952,0.913,0.999,1.002
"Q7XU74","sp|Q7XU74|PX114_ORYSJ","Peroxisomal membrane protein 11-4 OS=Oryza sativa subsp. japonica OX=39947 GN=PEX11-4 PE=2 SV=2",115459636,0.99,1.063,0.996,0.924,0.964,1.051,0.834,0.833,0.843,0.852,0.9,0.986,0.861,0.829,0.866,0.918,0.892,0.947
"Q7FB12","sp|Q7FB12|NDHM_ORYSJ","NAD(P)H-quinone oxidoreductase subunit M, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=ndhM PE=2 SV=1",115459670,0.907,0.964,0.95,0.981,0.978,1.006,0.839,0.754,0.811,0.816,0.964,0.996,0.925,0.883,0.9,1.049,0.898,0.86
"Q7X806","tr|Q7X806|Q7X806_ORYSJ","OSJNBa0041A02.4 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0601400 PE=2 SV=2",115460328,1.033,1.016,1.008,1.245,0.939,1.155,0.794,1.069,0.874,0.996,0.896,0.924,0.853,0.856,1.27,1.236,1.09,1.044
"Q7XPY2","sp|Q7XPY2|PMA1_ORYSJ","Plasma membrane ATPase OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0656100 PE=2 SV=1",115461036,0.972,0.987,0.859,0.901,0.828,0.772,0.823,0.786,0.803,0.729,0.927,0.93,0.903,0.923,0.989,0.879,0.967,0.94
"Q7FAL6","tr|Q7FAL6|Q7FAL6_ORYSJ","OSJNBa0071I13.18 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0657300 PE=3 SV=1",115461044,0.862,0.993,1.047,0.896,1.085,1.171,0.814,0.844,0.829,0.826,1.078,1.031,1.102,0.808,1.047,0.889,0.99,0.996
"Q7XN85","tr|Q7XN85|Q7XN85_ORYSJ","OSJNBa0011F23.7 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0658300 PE=4 SV=2",115461056,1.009,0.977,1.031,1.029,0.948,0.901,0.804,0.812,0.821,0.63,0.912,1.003,0.875,0.877,0.902,0.947,0.976,0.819
"Q0J9B4","tr|Q0J9B4|Q0J9B4_ORYSJ","Os04g0662800 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0662800 PE=4 SV=1",115461118,0.94,1.013,1.001,1.004,1.003,0.994,0.826,0.9,0.83,1.056,0.929,0.774,0.954,0.9,1.188,1.038,1.131,1.063
"Q75M18","tr|Q75M18|Q75M18_ORYSJ","Methionine S-methyltransferase OS=Oryza sativa subsp. japonica OX=39947 GN=Os05g0105000 PE=2 SV=1",115461615,0.85,1.014,0.932,0.866,1.103,1.059,0.69,0.67,0.831,0.868,0.962,0.856,0.973,0.878,0.889,0.909,1.031,1.073
"Q688R1","sp|Q688R1|MTP1_ORYSJ","Metal tolerance protein 1 OS=Oryza sativa subsp. japonica OX=39947 GN=MTP1 PE=2 SV=1",115461879,0.989,1.029,1.015,1.037,1.057,1.182,0.941,0.815,0.855,0.917,0.962,0.903,1.11,1.144,0.979,0.824,0.981,0.843
"Q75L39","tr|Q75L39|Q75L39_ORYSJ","Os05g0136900 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os05g0136900 PE=2 SV=1",115461963,0.947,0.677,1.51,1.137,1.388,0.874,0.576,0.625,0.416,0.514,1.023,1.023,0.83,0.557,0.911,0.868,0.707,0.751
"Q6ATB2","sp|Q6ATB2|CRSH2_ORYSJ","Probable GTP diphosphokinase CRSH2, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=CRSH2 PE=2 SV=1",115462253,1.036,1.159,1.092,1.05,0.995,0.94,0.577,0.556,0.662,0.632,0.868,0.92,0.854,0.924,1.008,1.197,1.02,1.037
"Q5TKJ2","tr|Q5TKJ2|Q5TKJ2_ORYSJ","Os05g0429400 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os05g0429400 PE=4 SV=1",115464035,1.02,0.998,1.069,1.161,1.051,0.881,0.923,0.897,0.888,0.947,1.056,0.975,1.031,0.998,1.166,1.068,1.115,1.061
"Q75GM0","tr|Q75GM0|Q75GM0_ORYSJ","Os05g0480400 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os05g0480400 PE=2 SV=1",115464509,1.032,0.917,1.122,1.154,1.077,0.871,0.871,0.798,0.853,0.87,1.069,0.827,1.016,1.06,1.154,1.032,1.064,1.048
"Q60EA3","tr|Q60EA3|Q60EA3_ORYSJ","Os05g0503300 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os05g0503300 PE=4 SV=1",115464757,0.901,0.965,0.866,0.872,0.87,0.919,0.736,0.778,0.745,0.849,0.824,0.907,0.82,0.857,0.846,0.929,0.857,0.984
"Q75II5","tr|Q75II5|Q75II5_ORYSJ","Folate gamma-glutamyl hydrolase OS=Oryza sativa subsp. japonica OX=39947 GN=Os05g0517500 PE=2 SV=1",115464905,1.159,1.045,1.114,1.054,1.085,0.936,0.891,0.948,0.904,0.812,1.032,1.153,0.97,1.098,1.021,1.065,0.92,1.031
"Q0DFC9","sp|Q0DFC9|PLAS_ORYSJ","Plastocyanin, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=PETE PE=1 SV=1",115465862,1.037,0.987,0.867,0.931,0.874,0.851,0.763,0.703,0.748,0.871,0.892,0.989,0.873,0.805,0.816,1.061,0.798,0.927
"P41344","sp|P41344|FENR1_ORYSJ","Ferredoxin--NADP reductase, leaf isozyme 1, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=LFNR1 PE=1 SV=1",115465942,0.954,0.978,0.991,0.967,1.006,0.992,0.788,0.812,0.77,0.875,1.038,1.076,1.051,0.882,0.935,1.012,0.951,0.926
"Q9LWT7","tr|Q9LWT7|Q9LWT7_ORYSJ","Os06g0113900 protein OS=Oryza sativa subsp. japonica OX=39947 GN=P0541H01.18-1 PE=2 SV=1",115466002,1.015,1.031,1.079,1.034,1.088,1.071,0.816,0.936,0.857,0.999,1.073,0.954,1.131,1.071,1.194,0.99,1.224,1.072
"Q5VRF4","tr|Q5VRF4|Q5VRF4_ORYSJ","Os06g0168700 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os06g0168700 PE=2 SV=1",115466656,0.996,1.09,1.013,1.005,1.014,0.773,0.931,0.747,0.851,0.631,1.022,1.058,1.118,1.095,1.245,0.963,1.31,1.145
"Q8H616","tr|Q8H616|Q8H616_ORYSJ","Os06g0178900 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os06g0178900 PE=2 SV=1",115466734,1.224,1.167,1.12,1.129,1.114,0.914,0.87,0.895,0.796,0.693,0.966,1.068,0.919,1.232,1.068,0.907,1.163,0.984
"Q5VME5","tr|Q5VME5|Q5VME5_ORYSJ","Glycosyltransferase OS=Oryza sativa subsp. japonica OX=39947 GN=Os06g0289900 PE=2 SV=1",115467636,1.376,1.723,1.383,1.451,1.383,1.176,0.578,0.62,0.573,1.056,0.958,0.782,0.992,1.107,1.567,1.512,1.793,1.148
"Q5Z4M6","tr|Q5Z4M6|Q5Z4M6_ORYSJ","Os06g0308000 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os06g0308000 PE=2 SV=1",115467746,1.16,1.116,1.035,0.963,1.012,1.162,0.902,0.877,1.008,0.979,1.129,1.198,1.126,1.183,0.977,1.22,0.971,1.058
"Q67WH3","tr|Q67WH3|Q67WH3_ORYSJ","Os06g0640500 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os06g0640500 PE=3 SV=1",115469130,1.149,1.263,1.275,1.184,1.222,1.208,0.74,0.724,0.651,1.07,1.085,1.289,1.162,0.976,1.199,1.201,1.212,1.129
"Q94LW4","sp|Q94LW4|KNOSB_ORYSJ","Homeobox protein knotted-1-like 11 OS=Oryza sativa subsp. japonica OX=39947 GN=HOS59 PE=2 SV=2",115469202,0.984,0.893,0.886,0.954,0.91,0.814,0.793,0.68,0.598,0.593,1.027,0.885,1.021,0.742,1.069,1.057,1.152,1.016
"Q8H3X4","tr|Q8H3X4|Q8H3X4_ORYSJ","Dirigent protein OS=Oryza sativa subsp. japonica OX=39947 GN=P0585H11.104 PE=2 SV=1",115470221,1.187,1.142,1.065,1.127,1.1,1.024,0.883,0.885,0.89,1.033,1.015,1.031,1.008,1.104,1.173,1.043,1.18,1.124
"Q69UU3","tr|Q69UU3|Q69UU3_ORYSJ","Os07g0108300 protein OS=Oryza sativa subsp. japonica OX=39947 GN=P0585H11.115 PE=2 SV=1",115470235,1.01,1.013,1.01,1.001,1.018,1.048,0.822,0.806,0.843,0.841,0.91,1.027,0.907,0.816,0.834,0.983,0.869,0.964
"Q7F1H3","tr|Q7F1H3|Q7F1H3_ORYSJ","Blue copper-binding protein-like OS=Oryza sativa subsp. japonica OX=39947 GN=OJ1118_G09.114 PE=2 SV=1",115470293,1.265,1.134,1.077,1.176,1.144,1.005,0.797,0.787,0.576,1.045,1.074,0.975,1.248,1.134,1.222,1.292,1.054,1.203
"Q6YT73","sp|Q6YT73|GLO5_ORYSJ","Peroxisomal (S)-2-hydroxy-acid oxidase GLO5 OS=Oryza sativa subsp. japonica OX=39947 GN=GLO5 PE=2 SV=1",115470621,0.911,0.942,1.014,1.031,1.03,0.962,0.8,0.823,0.833,0.866,0.879,0.946,0.916,0.831,0.832,0.945,0.878,0.88
"Q7XAL6","tr|Q7XAL6|Q7XAL6_ORYSJ","Os07g0409100 protein OS=Oryza sativa subsp. japonica OX=39947 GN=P0492E07.115 PE=4 SV=1",115471681,1.003,1.046,0.981,1.059,1.016,0.93,0.88,0.805,0.928,0.897,1.006,0.983,1.007,0.898,1.145,1.013,1.148,0.99
"Q0D6L9","tr|Q0D6L9|Q0D6L9_ORYSJ","Os07g0467200 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os07g0467200 PE=4 SV=1",115471983,0.892,0.898,1.081,1.112,1.069,0.838,0.819,0.803,0.797,0.735,1.016,0.89,0.993,0.849,1.019,1.019,0.95,0.924
"Q7XII4","sp|Q7XII4|REM41_ORYSJ","Remorin 4.1 OS=Oryza sativa subsp. japonica OX=39947 GN=REM4.1 PE=1 SV=1",115472875,0.987,0.949,1.029,0.967,1.02,0.957,0.842,0.748,0.894,0.786,0.928,1.055,0.897,0.822,0.962,0.96,0.962,0.973
"Q8GVE1","sp|Q8GVE1|CIGR2_ORYSJ","Chitin-inducible gibberellin-responsive protein 2 OS=Oryza sativa subsp. japonica OX=39947 GN=CIGR2 PE=2 SV=1",115473033,0.958,1.033,1.077,1.076,1.19,1.069,0.876,0.813,1.003,0.945,1.013,1.067,1.087,1.059,0.993,1.04,1.107,1.267
"Q7XHN4","tr|Q7XHN4|Q7XHN4_ORYSJ","Os07g0586200 protein OS=Oryza sativa subsp. japonica OX=39947 GN=OJ1113_E01.105-1 PE=2 SV=1",115473061,1.029,1.037,0.961,1.014,0.877,0.853,0.663,0.717,0.506,0.78,0.854,0.978,0.888,0.883,1.107,1.069,1.149,1.075
"Q8H4E0","tr|Q8H4E0|Q8H4E0_ORYSJ","Os07g0630800 protein OS=Oryza sativa subsp. japonica OX=39947 GN=P0011H09.138 PE=2 SV=1",115473517,0.959,1.029,1.009,0.984,1.035,1.103,0.818,0.861,0.825,0.909,1.093,1.121,1.119,0.965,1.005,1.181,0.921,0.953
"Q8H2U6","tr|Q8H2U6|Q8H2U6_ORYSJ","Os07g0661700 protein OS=Oryza sativa subsp. japonica OX=39947 GN=P0453E03.109 PE=2 SV=2",115473883,0.886,0.931,1.117,1.08,1.042,0.925,0.823,0.814,0.835,0.841,0.949,0.866,0.953,0.924,0.956,0.98,1.001,0.836
"Q6ZDW8","tr|Q6ZDW8|Q6ZDW8_ORYSJ","Os07g0674400 protein OS=Oryza sativa subsp. japonica OX=39947 GN=P0618H09.12 PE=2 SV=1",115474033,1.134,1.218,1.006,1.073,1.077,1.114,0.839,0.768,0.836,0.944,1.009,0.991,1.032,0.864,1.322,1.022,1.342,1.295
"Q6Z1Y6","sp|Q6Z1Y6|SNAT2_ORYSJ","Serotonin N-acetyltransferase 2, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=SNAT2 PE=1 SV=1",115474337,0.907,1.021,1.058,0.965,1.023,0.97,0.82,0.82,0.863,0.903,1.049,1.032,1.077,1.033,0.986,0.981,0.964,0.991
"Q6ZC69","sp|Q6ZC69|KAD2_ORYSJ","Probable adenylate kinase 2, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=Os08g0109300 PE=2 SV=1",115474427,0.963,1.056,1.001,0.965,0.994,1.023,0.877,0.779,0.801,0.8,0.911,0.994,0.893,0.825,0.85,1.012,0.85,0.92
"Q84ZL5","tr|Q84ZL5|Q84ZL5_ORYSJ","DNA topoisomerase I OS=Oryza sativa subsp. japonica OX=39947 GN=OJ1066_B03.125 PE=3 SV=1",115474837,1.137,1.015,1.072,1.099,1.054,0.93,0.965,0.632,0.922,0.85,1.009,1.005,1.01,0.957,1.251,1.121,1.123,1.012
"Q6Z9F9","tr|Q6Z9F9|Q6Z9F9_ORYSJ","Os08g0440100 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os08g0440100 PE=2 SV=1",115476610,0.975,1.028,1.033,1.127,1.135,1.073,0.912,0.941,0.848,0.973,1.032,0.902,1.01,0.974,1.299,1.103,1.289,1.124
"Q6ZBZ2","sp|Q6ZBZ2|GL814_ORYSJ","Germin-like protein 8-14 OS=Oryza sativa subsp. japonica OX=39947 GN=GER5 PE=1 SV=1",115476760,0.907,0.896,1.004,1.023,1.016,0.879,0.815,0.652,0.829,0.896,1,0.821,1.003,0.972,1.021,0.986,1.02,0.951
"P16081","sp|P16081|NIA1_ORYSJ","Nitrate reductase [NADH] 1 OS=Oryza sativa subsp. japonica OX=39947 GN=NIA1 PE=2 SV=3",115476820,1.119,1.132,0.914,0.846,0.949,0.847,0.732,0.64,0.786,0.631,0.902,1.081,0.824,0.879,0.843,1.239,0.797,1.021
"Q6ZDS0","tr|Q6ZDS0|Q6ZDS0_ORYSJ","Os08g0485900 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os08g0485900 PE=4 SV=1",115476990,0.951,0.998,1.064,1.03,1.044,0.983,0.84,0.864,0.835,0.829,0.997,1.016,1.037,0.896,0.934,0.982,0.898,0.933
"Q6ZFI6","tr|Q6ZFI6|Q6ZFI6_ORYSJ","Os08g0502700 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os08g0502700 PE=2 SV=1",115477148,1.033,0.966,1.012,1.07,1.005,0.974,0.81,0.854,0.771,0.807,0.951,1.049,0.952,0.809,0.907,1.018,0.917,0.915
"Q84YK7","sp|Q84YK7|BGL27_ORYSJ","Beta-glucosidase 27 OS=Oryza sativa subsp. japonica OX=39947 GN=BGLU27 PE=2 SV=1",115477210,1.04,1.058,0.857,0.85,0.821,0.904,0.824,0.783,0.812,0.933,0.796,0.92,0.876,0.944,0.92,0.945,0.923,1.097
"Q6ZI95","tr|Q6ZI95|Q6ZI95_ORYSJ","Purple acid phosphatase OS=Oryza sativa subsp. japonica OX=39947 GN=NPP1 PE=2 SV=1",115477469,1.288,1.381,0.863,0.869,0.999,1.168,0.523,0.503,0.651,0.829,0.738,0.796,0.768,1.006,1.191,1.099,1.187,1.087
"Q650W6","tr|Q650W6|Q650W6_ORYSJ","Os09g0565200 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os09g0565200 PE=2 SV=1",115480705,0.993,0.97,0.862,0.939,0.914,0.953,0.761,0.785,0.739,0.798,0.861,0.883,0.896,0.87,0.825,0.987,0.884,0.919
"Q7G566","tr|Q7G566|Q7G566_ORYSJ","Hsp20/alpha crystallin family protein, expressed OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os10g07200 PE=2 SV=1",115481216,1.263,1.141,1.208,1.176,1.126,1.096,1.099,1.018,1.053,1.204,0.929,1.171,0.908,1.045,1.656,1.347,1.487,1.251
"Q7G754","tr|Q7G754|Q7G754_ORYSJ","Hsp20/alpha crystallin family protein, expressed OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os10g07210 PE=2 SV=1",115481218,1.063,1.129,1.018,1.184,1.145,1.079,0.965,0.85,1.067,1.208,0.925,1,0.921,1.005,1.374,1.111,1.438,1.306
"Q7XDQ5","tr|Q7XDQ5|Q7XDQ5_ORYSJ","Expressed protein OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os10g31810 PE=2 SV=1",115482322,1.075,0.921,1.07,1.16,1.048,0.981,0.991,0.845,0.929,0.729,0.936,0.847,0.994,0.89,1.025,1.046,1.016,0.94
"Q94LR9","tr|Q94LR9|Q94LR9_ORYSJ","3-ketoacyl-CoA thiolase 2, peroxisomal, putative, expressed OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os10g31950 PE=2 SV=1",115482342,0.925,1.065,0.851,0.858,0.829,0.918,0.756,0.718,0.765,0.76,0.615,0.66,0.697,0.681,0.885,0.809,0.925,0.908
"Q0IWK4","tr|Q0IWK4|Q0IWK4_ORYSJ","Os10g0503300 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os10g0503300 PE=4 SV=1",115482808,0.746,1.378,1.241,1.204,1.149,0.797,0.515,0.516,0.438,0.471,0.383,0.571,0.379,0.375,0.836,0.956,0.778,0.981
"Q945W3","tr|Q945W3|Q945W3_ORYSJ","Glutathione S-transferase, N-terminal domain containing protein, expressed OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os10g38140 PE=2 SV=1",115483040,1.091,1.05,1.251,1.072,1.173,0.983,0.835,0.754,0.77,0.886,1.193,1.236,1.188,1.062,1.042,1.054,0.984,0.95
"Q945W2","tr|Q945W2|Q945W2_ORYSJ","Glutathione S-transferase GSTU6, putative, expressed OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os10g38580 PE=2 SV=1",115483066,1.181,1.125,1.065,1.15,1.114,0.937,0.766,0.825,0.757,0.969,1.018,1.017,0.942,0.923,1.316,1.239,1.075,0.953
